"","session","mirrorFirst","ID","boxes","imistake","pred","prob","type","taskName","CR1","CR2","CR3","sex","major","math","economics","cuM","cuL","precisionL","precisionM","similarity","attnBoxL","attnBoxM","attnPayL","attnPayM","repeated","mirror","lottery","r_mirror","r_lottery","time_mirror","time_lottery","time_r_mirror","time_r_lottery","noiseL","noiseM","noise","elicitation","multiplier","treatment"
"11",0,TRUE,"3002961",100,TRUE,-18.5,75,"L","L75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-18.5,-15.5,0,0,32.9000000000002,32.3000000000002,NA,NA,0,0,0,"MPL",1,"student"
"12",0,TRUE,"3002961",100,TRUE,-22.5,90,"L","L90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-22.5,-19.5,0,0,21.5,45.7000000000004,NA,NA,0,0,0,"MPL",1,"student"
"13",0,TRUE,"3061652",100,TRUE,0,50,"A","A10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,51,51,0,0,102.599999999998,66.8000000000005,NA,NA,0,0,0,"MPL",-1,"student"
"14",0,TRUE,"3061652",100,TRUE,0,50,"A","A15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,47,51,0,0,335.500000000008,31.9000000000002,NA,NA,0,0,0,"MPL",-1,"student"
"15",0,TRUE,"3061652",100,TRUE,2.5,10,"G","G10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5,0.5,0,0,80.4999999999997,28.7000000000001,NA,NA,0,0,0,"MPL",1,"student"
"16",0,TRUE,"3061652",100,TRUE,6.5,25,"G","G25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2.5,0.5,0,0,28.5000000000001,19,NA,NA,0,0,0,"MPL",1,"student"
"17",0,TRUE,"3061652",100,TRUE,12.5,50,"G","G50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12.5,4.5,0,0,107.299999999998,21.1,NA,NA,0,0,0,"MPL",-1,"student"
"18",0,TRUE,"3061652",100,TRUE,18.5,75,"G","G75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5.5,8.5,0,0,30.8000000000002,26.8000000000001,NA,NA,0,0,0,"MPL",-1,"student"
"19",0,TRUE,"3061652",100,TRUE,22.5,90,"G","G90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,14.5,7.5,0,0,129.599999999997,25.8000000000001,NA,NA,0,0,0,"MPL",-1,"student"
"20",0,TRUE,"3061652",100,TRUE,-2.5,10,"L","L10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-10.5,-19.5,0,0,26.1000000000001,37.1000000000003,NA,NA,0,0,0,"MPL",-1,"student"
"21",0,TRUE,"3061652",100,TRUE,-6.5,25,"L","L25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-10.5,-14.5,0,0,28.7000000000001,28.8000000000001,NA,NA,0,0,0,"MPL",-1,"student"
"22",0,TRUE,"3061652",100,TRUE,-12.5,50,"L","L50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-12.5,-18.5,0,0,72.7000000000001,18.2,NA,NA,0,0,0,"MPL",-1,"student"
"23",0,TRUE,"3061652",100,TRUE,-18.5,75,"L","L75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-21.5,-17.5,0,0,29.3000000000001,33.5000000000002,NA,NA,0,0,0,"MPL",1,"student"
"24",0,TRUE,"3061652",100,TRUE,-22.5,90,"L","L90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-10.5,-19.5,0,0,85.7999999999994,20.3,NA,NA,0,0,0,"MPL",1,"student"
"25",0,TRUE,"3073947",100,TRUE,0,50,"A","A10","4 days","10","10,000","Female","Mathematics","Two or more university-level courses","Two or more university-level courses",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,11,1,0,0,73.4000000000001,139.999999999996,NA,NA,0,0,0,"MPL",-1,"student"
"26",0,TRUE,"3073947",100,TRUE,0,50,"A","A15","4 days","10","10,000","Female","Mathematics","Two or more university-level courses","Two or more university-level courses",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15,9,0,0,67.5000000000004,74.6,NA,NA,0,0,0,"MPL",-1,"student"
"27",0,TRUE,"3073947",100,TRUE,2.5,10,"G","G10","4 days","10","10,000","Female","Mathematics","Two or more university-level courses","Two or more university-level courses",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2.5,11.5,0,0,64.3000000000006,37.7000000000003,NA,NA,0,0,0,"MPL",1,"student"
"28",0,TRUE,"3073947",100,TRUE,6.5,25,"G","G25","4 days","10","10,000","Female","Mathematics","Two or more university-level courses","Two or more university-level courses",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6.5,6.5,0,0,104.399999999998,30.4000000000002,NA,NA,0,0,0,"MPL",1,"student"
"29",0,TRUE,"3073947",100,TRUE,12.5,50,"G","G50","4 days","10","10,000","Female","Mathematics","Two or more university-level courses","Two or more university-level courses",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12.5,7.5,0,0,64.3000000000006,54.7000000000005,NA,NA,0,0,0,"MPL",-1,"student"
"30",0,TRUE,"3073947",100,TRUE,18.5,75,"G","G75","4 days","10","10,000","Female","Mathematics","Two or more university-level courses","Two or more university-level courses",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18.5,9.5,0,0,96.3999999999988,55.7000000000005,NA,NA,0,0,0,"MPL",-1,"student"
"31",0,TRUE,"3073947",100,TRUE,22.5,90,"G","G90","4 days","10","10,000","Female","Mathematics","Two or more university-level courses","Two or more university-level courses",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,22.5,8.5,0,0,41.1000000000003,109.599999999998,NA,NA,0,0,0,"MPL",-1,"student"
"32",0,TRUE,"3073947",100,TRUE,-2.5,10,"L","L10","4 days","10","10,000","Female","Mathematics","Two or more university-level courses","Two or more university-level courses",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-2.5,-2.5,0,0,63.9000000000006,34.9000000000002,NA,NA,0,0,0,"MPL",-1,"student"
"33",0,TRUE,"3073947",100,TRUE,-6.5,25,"L","L25","4 days","10","10,000","Female","Mathematics","Two or more university-level courses","Two or more university-level courses",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-6.5,-4.5,0,0,52.9000000000005,95.9999999999988,NA,NA,0,0,0,"MPL",-1,"student"
"34",0,TRUE,"3073947",100,TRUE,-12.5,50,"L","L50","4 days","10","10,000","Female","Mathematics","Two or more university-level courses","Two or more university-level courses",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-12.5,-17.5,0,0,29.2000000000001,56.3000000000005,NA,NA,0,0,0,"MPL",-1,"student"
"35",0,TRUE,"3073947",100,TRUE,-18.5,75,"L","L75","4 days","10","10,000","Female","Mathematics","Two or more university-level courses","Two or more university-level courses",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-18.5,-12.5,0,0,33.8000000000002,46.6000000000004,NA,NA,0,0,0,"MPL",1,"student"
"36",0,TRUE,"3073947",100,TRUE,-22.5,90,"L","L90","4 days","10","10,000","Female","Mathematics","Two or more university-level courses","Two or more university-level courses",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-22.5,-14.5,0,0,78.8999999999998,8.19999999999999,NA,NA,0,0,0,"MPL",1,"student"
"37",0,FALSE,"3123098",100,TRUE,0,50,"A","A10","5 days","20","10,000","Female","Science/Engineering","Two or more university-level courses","Single university-level course",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,39,9,0,0,30.7000000000002,47.6000000000004,NA,NA,0,0,0,"MPL",-1,"student"
"38",0,FALSE,"3123098",100,TRUE,0,50,"A","A15","5 days","20","10,000","Female","Science/Engineering","Two or more university-level courses","Single university-level course",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,45,29,0,0,32.5000000000002,81.7999999999996,NA,NA,0,0,0,"MPL",-1,"student"
"39",0,FALSE,"3123098",100,TRUE,2.5,10,"G","G10","5 days","20","10,000","Female","Science/Engineering","Two or more university-level courses","Single university-level course",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2.5,1.5,0,0,22.3,27.9000000000001,NA,NA,0,0,0,"MPL",1,"student"
"40",0,FALSE,"3123098",100,TRUE,6.5,25,"G","G25","5 days","20","10,000","Female","Science/Engineering","Two or more university-level courses","Single university-level course",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19.5,4.5,0,0,37.2000000000003,34.8000000000002,NA,NA,0,0,0,"MPL",1,"student"
"41",0,FALSE,"3123098",100,TRUE,12.5,50,"G","G50","5 days","20","10,000","Female","Science/Engineering","Two or more university-level courses","Single university-level course",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19.5,9.5,0,0,67.9000000000004,26.6000000000001,NA,NA,0,0,0,"MPL",-1,"student"
"42",0,FALSE,"3123098",100,TRUE,18.5,75,"G","G75","5 days","20","10,000","Female","Science/Engineering","Two or more university-level courses","Single university-level course",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,13.5,9.5,0,0,21.3,112.299999999998,NA,NA,0,0,0,"MPL",-1,"student"
"43",0,FALSE,"3123098",100,TRUE,22.5,90,"G","G90","5 days","20","10,000","Female","Science/Engineering","Two or more university-level courses","Single university-level course",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15.5,9.5,0,0,24.2000000000001,36.2000000000002,NA,NA,0,0,0,"MPL",-1,"student"
"44",0,FALSE,"3123098",100,TRUE,-2.5,10,"L","L10","5 days","20","10,000","Female","Science/Engineering","Two or more university-level courses","Single university-level course",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-10.5,-15.5,0,0,53.8000000000005,54.4000000000005,NA,NA,0,0,0,"MPL",-1,"student"
"45",0,FALSE,"3123098",100,TRUE,-6.5,25,"L","L25","5 days","20","10,000","Female","Science/Engineering","Two or more university-level courses","Single university-level course",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-16.5,-17.5,0,0,67.3000000000005,37.4000000000003,NA,NA,0,0,0,"MPL",-1,"student"
"46",0,FALSE,"3123098",100,TRUE,-12.5,50,"L","L50","5 days","20","10,000","Female","Science/Engineering","Two or more university-level courses","Single university-level course",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-16.5,-20.5,0,0,35.8000000000002,35.6000000000002,NA,NA,0,0,0,"MPL",-1,"student"
"47",0,FALSE,"3123098",100,TRUE,-18.5,75,"L","L75","5 days","20","10,000","Female","Science/Engineering","Two or more university-level courses","Single university-level course",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-22.5,-20.5,0,0,28.4000000000001,51.7000000000005,NA,NA,0,0,0,"MPL",1,"student"
"48",0,FALSE,"3123098",100,TRUE,-22.5,90,"L","L90","5 days","20","10,000","Female","Science/Engineering","Two or more university-level courses","Single university-level course",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-20.5,-22.5,0,0,28.8000000000001,35.4000000000002,NA,NA,0,0,0,"MPL",1,"student"
"49",0,FALSE,"3125077",100,TRUE,0,50,"A","A10","4.5 days","20","$7000","Female","Science/Engineering","Two or more university-level courses","No course",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,11,1,0,0,206.499999999993,40.2000000000003,NA,NA,0,0,0,"MPL",-1,"student"
"50",0,FALSE,"3125077",100,TRUE,0,50,"A","A15","4.5 days","20","$7000","Female","Science/Engineering","Two or more university-level courses","No course",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15,9,0,0,67.0000000000005,66.4000000000005,NA,NA,0,0,0,"MPL",-1,"student"
"51",0,FALSE,"3125077",100,TRUE,2.5,10,"G","G10","4.5 days","20","$7000","Female","Science/Engineering","Two or more university-level courses","No course",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2.5,2.5,0,0,19.3,24.7000000000001,NA,NA,0,0,0,"MPL",1,"student"
"52",0,FALSE,"3125077",100,TRUE,6.5,25,"G","G25","4.5 days","20","$7000","Female","Science/Engineering","Two or more university-level courses","No course",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6.5,8.5,0,0,54.6000000000005,40.5000000000003,NA,NA,0,0,0,"MPL",1,"student"
"53",0,FALSE,"3125077",100,TRUE,12.5,50,"G","G50","4.5 days","20","$7000","Female","Science/Engineering","Two or more university-level courses","No course",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12.5,9.5,0,0,24.1000000000001,75.9,NA,NA,0,0,0,"MPL",-1,"student"
"54",0,FALSE,"3125077",100,TRUE,18.5,75,"G","G75","4.5 days","20","$7000","Female","Science/Engineering","Two or more university-level courses","No course",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18.5,14.5,0,0,33.0000000000002,25.6000000000001,NA,NA,0,0,0,"MPL",-1,"student"
"55",0,FALSE,"3125077",100,TRUE,22.5,90,"G","G90","4.5 days","20","$7000","Female","Science/Engineering","Two or more university-level courses","No course",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,22.5,22.5,0,0,30.9000000000002,32.3000000000002,NA,NA,0,0,0,"MPL",-1,"student"
"56",0,FALSE,"3125077",100,TRUE,-2.5,10,"L","L10","4.5 days","20","$7000","Female","Science/Engineering","Two or more university-level courses","No course",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-12.5,-15.5,0,0,28.3000000000001,87.5999999999993,NA,NA,0,0,0,"MPL",-1,"student"
"57",0,FALSE,"3125077",100,TRUE,-6.5,25,"L","L25","4.5 days","20","$7000","Female","Science/Engineering","Two or more university-level courses","No course",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-6.5,-10.5,0,0,29.9000000000002,35.1000000000002,NA,NA,0,0,0,"MPL",-1,"student"
"58",0,FALSE,"3125077",100,TRUE,-12.5,50,"L","L50","4.5 days","20","$7000","Female","Science/Engineering","Two or more university-level courses","No course",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-12.5,-20.5,0,0,33.6000000000002,42.4000000000003,NA,NA,0,0,0,"MPL",-1,"student"
"59",0,FALSE,"3125077",100,TRUE,-18.5,75,"L","L75","4.5 days","20","$7000","Female","Science/Engineering","Two or more university-level courses","No course",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-18.5,-15.5,0,0,29.7000000000002,30.2000000000002,NA,NA,0,0,0,"MPL",1,"student"
"60",0,FALSE,"3125077",100,TRUE,-22.5,90,"L","L90","4.5 days","20","$7000","Female","Science/Engineering","Two or more university-level courses","No course",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-22.5,-22.5,0,0,21.2,31.0000000000002,NA,NA,0,0,0,"MPL",1,"student"
"61",0,TRUE,"3205697",100,TRUE,0,50,"A","A10","9 days","10","7000","Female","Other","Two or more university-level courses","High school",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,11,13,0,0,30.3000000000002,14.1,NA,NA,0,0,0,"MPL",-1,"student"
"62",0,TRUE,"3205697",100,TRUE,0,50,"A","A15","9 days","10","7000","Female","Other","Two or more university-level courses","High school",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15,17,0,0,40.5000000000003,38.4000000000003,NA,NA,0,0,0,"MPL",-1,"student"
"63",0,TRUE,"3205697",100,TRUE,2.5,10,"G","G10","9 days","10","7000","Female","Other","Two or more university-level courses","High school",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7.5,13.5,0,0,29.2000000000001,25.4000000000001,NA,NA,0,0,0,"MPL",1,"student"
"64",0,TRUE,"3205697",100,TRUE,6.5,25,"G","G25","9 days","10","7000","Female","Other","Two or more university-level courses","High school",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,14.5,13.5,0,0,32.7000000000002,18.5,NA,NA,0,0,0,"MPL",1,"student"
"65",0,TRUE,"3205697",100,TRUE,12.5,50,"G","G50","9 days","10","7000","Female","Other","Two or more university-level courses","High school",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12.5,10.5,0,0,27.4000000000001,13.9,NA,NA,0,0,0,"MPL",-1,"student"
"66",0,TRUE,"3205697",100,TRUE,18.5,75,"G","G75","9 days","10","7000","Female","Other","Two or more university-level courses","High school",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12.5,15.5,0,0,76.6999999999999,24.0000000000001,NA,NA,0,0,0,"MPL",-1,"student"
"67",0,TRUE,"3205697",100,TRUE,22.5,90,"G","G90","9 days","10","7000","Female","Other","Two or more university-level courses","High school",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,14.5,15.5,0,0,63.3000000000006,37.6000000000003,NA,NA,0,0,0,"MPL",-1,"student"
"68",0,TRUE,"3205697",100,TRUE,-2.5,10,"L","L10","9 days","10","7000","Female","Other","Two or more university-level courses","High school",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-10.5,-13.5,0,0,56.9000000000005,18.7,NA,NA,0,0,0,"MPL",-1,"student"
"69",0,TRUE,"3205697",100,TRUE,-6.5,25,"L","L25","9 days","10","7000","Female","Other","Two or more university-level courses","High school",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-16.5,-11.5,0,0,28.8000000000001,22.7000000000001,NA,NA,0,0,0,"MPL",-1,"student"
"70",0,TRUE,"3205697",100,TRUE,-12.5,50,"L","L50","9 days","10","7000","Female","Other","Two or more university-level courses","High school",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-12.5,-13.5,0,0,23.9000000000001,13.5,NA,NA,0,0,0,"MPL",-1,"student"
"71",0,TRUE,"3205697",100,TRUE,-18.5,75,"L","L75","9 days","10","7000","Female","Other","Two or more university-level courses","High school",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-21.5,-18.5,0,0,27.2000000000001,25.0000000000001,NA,NA,0,0,0,"MPL",1,"student"
"72",0,TRUE,"3205697",100,TRUE,-22.5,90,"L","L90","9 days","10","7000","Female","Other","Two or more university-level courses","High school",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-17.5,-19.5,0,0,14.4,14.2,NA,NA,0,0,0,"MPL",1,"student"
"73",0,FALSE,"3216892",100,TRUE,0,50,"A","A10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,25,11,0,0,51.2000000000005,27.0000000000001,NA,NA,0,0,0,"MPL",-1,"student"
"74",0,FALSE,"3216892",100,TRUE,0,50,"A","A15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,29,15,0,0,30.2000000000002,28.6000000000001,NA,NA,0,0,0,"MPL",-1,"student"
"75",0,FALSE,"3216892",100,TRUE,2.5,10,"G","G10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4.5,5.5,0,0,29.6000000000002,74.5,NA,NA,0,0,0,"MPL",1,"student"
"76",0,FALSE,"3216892",100,TRUE,6.5,25,"G","G25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7.5,9.5,0,0,37.9000000000003,26.1000000000001,NA,NA,0,0,0,"MPL",1,"student"
"77",0,FALSE,"3216892",100,TRUE,12.5,50,"G","G50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12.5,19.5,0,0,28.0000000000001,11.9,NA,NA,0,0,0,"MPL",-1,"student"
"78",0,FALSE,"3216892",100,TRUE,18.5,75,"G","G75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18.5,19.5,0,0,21.2,11.7,NA,NA,0,0,0,"MPL",-1,"student"
"79",0,FALSE,"3216892",100,TRUE,22.5,90,"G","G90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,22.5,24.5,0,0,29.9000000000002,27.5000000000001,NA,NA,0,0,0,"MPL",-1,"student"
"80",0,FALSE,"3216892",100,TRUE,-2.5,10,"L","L10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-5.5,-10.5,0,0,28.1000000000001,44.1000000000004,NA,NA,0,0,0,"MPL",-1,"student"
"81",0,FALSE,"3216892",100,TRUE,-6.5,25,"L","L25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-6.5,-10.5,0,0,13.1,61.5000000000006,NA,NA,0,0,0,"MPL",-1,"student"
"82",0,FALSE,"3216892",100,TRUE,-12.5,50,"L","L50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-12.5,-10.5,0,0,33.4000000000002,24.5000000000001,NA,NA,0,0,0,"MPL",-1,"student"
"83",0,FALSE,"3216892",100,TRUE,-18.5,75,"L","L75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-18.5,-15.5,0,0,38.1000000000003,14.6,NA,NA,0,0,0,"MPL",1,"student"
"84",0,FALSE,"3216892",100,TRUE,-22.5,90,"L","L90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-21.5,-20.5,0,0,39.9000000000003,43.9000000000004,NA,NA,0,0,0,"MPL",1,"student"
"85",0,TRUE,"322284-1",100,TRUE,0,50,"A","A10","4","20","7000","Female","Business/Economics","Two or more university-level courses","Single university-level course",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,11,29,0,0,161.799999999995,56.7000000000005,NA,NA,0,0,0,"MPL",-1,"student"
"86",0,TRUE,"322284-1",100,TRUE,0,50,"A","A15","4","20","7000","Female","Business/Economics","Two or more university-level courses","Single university-level course",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15,29,0,0,63.4000000000006,92.399999999999,NA,NA,0,0,0,"MPL",-1,"student"
"87",0,TRUE,"322284-1",100,TRUE,2.5,10,"G","G10","4","20","7000","Female","Business/Economics","Two or more university-level courses","Single university-level course",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12.5,9.5,0,0,17.7,11.8,NA,NA,0,0,0,"MPL",1,"student"
"88",0,TRUE,"322284-1",100,TRUE,6.5,25,"G","G25","4","20","7000","Female","Business/Economics","Two or more university-level courses","Single university-level course",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6.5,19.5,0,0,48.4000000000004,69.6000000000003,NA,NA,0,0,0,"MPL",1,"student"
"89",0,TRUE,"322284-1",100,TRUE,12.5,50,"G","G50","4","20","7000","Female","Business/Economics","Two or more university-level courses","Single university-level course",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12.5,9.5,0,0,97.2999999999988,24.0000000000001,NA,NA,0,0,0,"MPL",-1,"student"
"90",0,TRUE,"322284-1",100,TRUE,18.5,75,"G","G75","4","20","7000","Female","Business/Economics","Two or more university-level courses","Single university-level course",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12.5,9.5,0,0,13.7,44.1000000000004,NA,NA,0,0,0,"MPL",-1,"student"
"91",0,TRUE,"322284-1",100,TRUE,22.5,90,"G","G90","4","20","7000","Female","Business/Economics","Two or more university-level courses","Single university-level course",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,22.5,9.5,0,0,73.0000000000001,13.2,NA,NA,0,0,0,"MPL",-1,"student"
"92",0,TRUE,"322284-1",100,TRUE,-2.5,10,"L","L10","4","20","7000","Female","Business/Economics","Two or more university-level courses","Single university-level course",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-2.5,-20.5,0,0,73.5000000000001,27.3000000000001,NA,NA,0,0,0,"MPL",-1,"student"
"93",0,TRUE,"322284-1",100,TRUE,-6.5,25,"L","L25","4","20","7000","Female","Business/Economics","Two or more university-level courses","Single university-level course",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-2.5,-20.5,0,0,19.4,10.3,NA,NA,0,0,0,"MPL",-1,"student"
"94",0,TRUE,"322284-1",100,TRUE,-12.5,50,"L","L50","4","20","7000","Female","Business/Economics","Two or more university-level courses","Single university-level course",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-12.5,-15.5,0,0,51.2000000000005,25.1000000000001,NA,NA,0,0,0,"MPL",-1,"student"
"95",0,TRUE,"322284-1",100,TRUE,-18.5,75,"L","L75","4","20","7000","Female","Business/Economics","Two or more university-level courses","Single university-level course",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-18.5,-15.5,0,0,35.4000000000002,71.1000000000002,NA,NA,0,0,0,"MPL",1,"student"
